행정동,분기,임대료(천원/㎡)
마장동,20224,42.9
마장동,20231,43.2
마장동,20232,43.7
마장동,20233,44.2
마장동,20234,44.6
마장동,20241,45
마장동,20242,45.6
마장동,20243,49.3
마장동,20244,50.2
마장동,20244,53.2
마장동,20251,50.8
마장동,20252,51.8
마장동,20253,52.4
마장동,20254,53.2
사근동,20211,39
사근동,20212,39.4
사근동,20213,39.7
사근동,20214,39.8
사근동,20221,41.2
사근동,20222,41.3
사근동,20223,42.8
사근동,20224,42.9
사근동,20231,43.2
사근동,20232,43.7
사근동,20233,44.2
사근동,20234,44.6
사근동,20241,45
사근동,20242,45.6
사근동,20243,49.3
사근동,20244,50.2
사근동,20244,53.2
사근동,20251,50.8
사근동,20252,51.8
사근동,20253,52.4
사근동,20254,53.2
행당1동,20211,39
행당1동,20212,39.4
행당1동,20213,39.7
행당1동,20214,39.8
행당1동,20221,41.2
행당1동,20222,41.3
행당1동,20223,42.8
행당1동,20224,42.9
행당1동,20231,43.2
행당1동,20232,43.7
행당1동,20233,44.2
행당1동,20234,44.6
행당1동,20241,45
행당1동,20242,45.6
행당1동,20243,49.3
행당1동,20244,50.2
행당1동,20244,53.2
행당1동,20251,50.8
행당1동,20252,51.8
행당1동,20253,52.4
행당1동,20254,53.2
행당2동,20211,39
행당2동,20212,39.4
행당2동,20213,39.7
행당2동,20214,39.8
행당2동,20221,41.2
행당2동,20222,41.3
행당2동,20223,42.8
행당2동,20224,42.9
행당2동,20231,43.2
행당2동,20232,43.7
행당2동,20233,44.2
행당2동,20234,44.6
행당2동,20241,45
행당2동,20242,45.6
행당2동,20243,49.3
행당2동,20244,50.2
행당2동,20244,53.2
행당2동,20251,50.8
행당2동,20252,51.8
행당2동,20253,52.4
행당2동,20254,53.2
응봉동,20211,39
응봉동,20212,39.4
응봉동,20213,39.7
응봉동,20214,39.8
응봉동,20221,41.2
응봉동,20222,41.3
응봉동,20223,42.8
응봉동,20224,42.9
응봉동,20231,43.2
응봉동,20232,43.7
응봉동,20233,44.2
응봉동,20234,44.6
응봉동,20241,45
응봉동,20242,45.6
응봉동,20243,49.3
응봉동,20244,50.2
응봉동,20244,53.2
응봉동,20251,50.8
응봉동,20252,51.8
응봉동,20253,52.4
응봉동,20254,53.2
금호1가동,20211,39
금호1가동,20212,39.4
금호1가동,20213,39.7
금호1가동,20214,39.8
금호1가동,20221,41.2
금호1가동,20222,41.3
금호1가동,20223,42.8
금호1가동,20224,42.9
금호1가동,20231,43.2
금호1가동,20232,43.7
금호1가동,20233,44.2
금호1가동,20234,44.6
